image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM10,22.0,40.92,18.92,18.92,0.99,0.84,True,False
1.1.1,AMC,AMC,AMC,22.0,20.57,-1.43,1.43,0.84,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,40.92,12.92,12.92,0.949,0.84,True,False
1.1.1,CIP,CIP,CIP,34.0,40.92,6.92,6.92,0.99,0.84,True,False
1.1.1,CN,CN,CN,21.0,22.63,1.63,1.63,0.99,0.84,True,False
1.1.1,CPD,CPD,CPD,28.0,40.92,12.92,12.92,0.99,0.84,True,False
1.1.1,CRO,CRO,CRO,35.0,33.15,-1.85,1.85,0.99,0.84,True,False
1.1.1,ETP,ETP,ETP,38.0,42.52,4.52,4.52,0.99,0.72,True,False
1.1.1,F100,F100,F100,22.0,20.8,-1.2,1.2,0.99,0.689,True,False
1.1.1,FEP,FEP,FEP,36.0,34.12,-1.88,1.88,0.99,0.79,True,False
1.1.1,FF,FF,FF,30.0,6.0,-24.0,24.0,0.99,0.679,True,True
1.1.1,FOX,FOX,FOX,26.0,40.0,14.0,14.0,0.99,0.84,True,False
1.1.1,MEM,MEM,MEM,34.0,40.92,6.92,6.92,0.99,0.741,True,False
1.1.1,PEF,PEF,PEF,28.0,42.52,14.52,14.52,0.99,0.72,True,False
1.1.1,SXT,SXT,SXT,30.0,40.92,10.92,10.92,0.99,0.84,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,42.52,16.52,16.52,0.99,0.72,True,False
1.10.1,AK,AK,AK,20.0,19.74,-0.26,0.26,0.99,0.84,True,False
1.10.1,AM,AM10,AM10,6.0,41.08,35.08,35.08,0.99,0.84,True,False
1.10.1,AMC,AMC,AMC,13.0,35.82,22.82,22.82,0.981,0.782,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,41.08,19.08,19.08,0.99,0.84,True,False
1.10.1,CIP,CIP,CIP,25.0,13.95,-11.05,11.05,0.99,0.705,True,False
1.10.1,CN,CN,CN,21.0,44.53,23.53,23.53,0.99,0.72,True,False
1.10.1,CPD,CPD,CPD,22.0,44.53,22.53,22.53,0.99,0.72,True,False
1.10.1,CRO,CRO,CRO,26.0,41.08,15.08,15.08,0.99,0.84,True,False
1.10.1,ETP,ETP,ETP,28.0,41.08,13.08,13.08,0.977,0.84,True,False
1.10.1,FEP,FEP,FEP,30.0,41.08,11.08,11.08,0.99,0.84,True,False
1.10.1,FOX,FOX,FOX,6.0,41.08,35.08,35.08,0.84,0.84,True,False
1.10.1,MEM,MEM,MEM,30.0,41.08,11.08,11.08,0.99,0.84,True,False
1.10.1,PEF,PEF,PEF,18.0,39.94,21.94,21.94,0.99,0.84,True,False
1.10.1,SXT,SXT,SXT,18.0,42.69,24.69,24.69,0.99,0.72,True,False
1.10.1,TOB,TOB,TOB,19.0,20.2,1.2,1.2,0.84,0.84,True,False
1.10.1,TPZ,TPZ,TPZ,19.0,41.08,22.08,22.08,0.84,0.84,True,False
1.2.1,AM,AM10,AM10,9.0,10.27,1.27,1.27,0.99,0.84,True,False
1.2.1,AMC,AMC,AMC,22.0,19.42,-2.58,2.58,0.99,0.84,True,False
1.2.1,CAZ,CAZ,CAZ,24.0,42.0,18.0,18.0,0.92,0.72,True,False
1.2.1,CIP,CIP,CIP,28.0,42.0,14.0,14.0,0.983,0.72,True,False
1.2.1,CN,CN,CN,20.0,42.0,22.0,22.0,0.99,0.72,True,False
1.2.1,CPD,CPD,CPD,25.0,40.42,15.42,15.42,0.94,0.84,True,False
1.2.1,CRO,CRO,CRO,26.0,35.52,9.52,9.52,0.934,0.794,True,False
1.2.1,ETP,ETP,ETP,29.0,43.81,14.81,14.81,0.977,0.72,True,False
1.2.1,F100,F100,F100,14.0,15.36,1.36,1.36,0.99,0.84,True,False
1.2.1,FEP,FEP,FEP,28.0,34.12,6.12,6.12,0.99,0.79,True,False
1.2.1,FF,FF,FF,18.0,18.22,0.22,0.22,0.99,0.84,True,False
1.2.1,FOX,FOX,FOX,20.0,39.29,19.29,19.29,0.99,0.84,True,False
1.2.1,MEM,MEM,MEM,34.0,42.0,8.0,8.0,0.99,0.72,True,False
1.2.1,PEF,PEF,PEF,24.0,42.0,18.0,18.0,0.99,0.72,True,False
1.2.1,SXT,SXT,SXT,32.0,42.0,10.0,10.0,0.99,0.72,True,False
1.2.1,TPZ,TPZ,TPZ,20.0,42.0,22.0,22.0,0.99,0.72,True,False
1.3.1,AM,AM10,AM10,21.0,41.52,20.52,20.52,0.99,0.72,True,False
1.3.1,AMC,AMC,AMC,21.0,19.2,-1.8,1.8,0.99,0.84,True,False
1.3.1,CAZ,CAZ,CAZ,26.0,39.96,13.96,13.96,0.92,0.84,True,False
1.3.1,CIP,CIP,CIP,36.0,39.96,3.96,3.96,0.99,0.84,True,False
1.3.1,CN,CN,CN,20.0,38.84,18.84,18.84,0.97,0.84,True,False
1.3.1,CPD,CPD,CPD,25.0,39.96,14.96,14.96,0.99,0.84,True,False
1.3.1,CRO,CRO,CRO,30.0,34.82,4.82,4.82,0.84,0.791,True,False
1.3.1,ETP,ETP,ETP,33.0,41.52,8.52,8.52,0.977,0.72,True,False
1.3.1,F100,F100,F100,17.0,18.3,1.3,1.3,0.99,0.84,True,False
1.3.1,FEP,FEP,FEP,32.0,39.96,7.96,7.96,0.99,0.84,True,False
1.3.1,FF,FF,FF,26.0,21.82,-4.18,4.18,0.99,0.84,True,False
1.3.1,FOX,FOX,FOX,26.0,37.95,11.95,11.95,0.99,0.84,True,False
1.3.1,MEM,MEM,MEM,34.0,41.52,7.52,7.52,0.99,0.72,True,False
1.3.1,PEF,PEF,PEF,29.0,37.95,8.95,8.95,0.99,0.84,True,False
1.3.1,SXT,SXT,SXT,29.0,41.52,12.52,12.52,0.99,0.72,True,False
1.3.1,TPZ,TPZ,TPZ,24.0,38.62,14.62,14.62,0.84,0.84,True,False
1.4.1,AM,AM10,AM10,9.0,9.96,0.96,0.96,0.99,0.84,True,False
1.4.1,AMC,AMC,AMC,21.0,38.94,17.94,17.94,0.84,0.84,True,False
1.4.1,CAZ,CAZ,CAZ,25.0,39.39,14.39,14.39,0.94,0.84,True,False
1.4.1,CIP,CIP,CIP,28.0,39.39,11.39,11.39,0.94,0.84,True,False
1.4.1,CN,CN,CN,22.0,40.53,18.53,18.53,0.99,0.84,True,False
1.4.1,CPD,CPD,CPD,26.0,42.11,16.11,16.11,0.94,0.72,True,False
1.4.1,CRO,CRO,CRO,27.0,25.36,-1.64,1.64,0.975,0.84,True,False
1.4.1,ETP,ETP,ETP,29.0,40.53,11.53,11.53,0.99,0.84,True,False
1.4.1,F100,F100,F100,6.0,16.39,10.39,10.39,0.99,0.702,True,False
1.4.1,FEP,FEP,FEP,29.0,40.53,11.53,11.53,0.99,0.84,True,False
1.4.1,FF,FF,FF,17.0,17.43,0.43,0.43,0.99,0.84,True,False
1.4.1,FOX,FOX,FOX,20.0,40.53,20.53,20.53,0.99,0.84,True,False
1.4.1,MEM,MEM,MEM,29.0,42.11,13.11,13.11,0.99,0.72,True,False
1.4.1,PEF,PEF,PEF,25.0,39.39,14.39,14.39,0.94,0.84,True,False
1.4.1,SXT,SXT,SXT,21.0,40.53,19.53,19.53,0.99,0.72,True,False
1.4.1,TPZ,TPZ,TPZ,20.0,42.11,22.11,22.11,0.99,0.72,True,False
1.5.1,AM,AM10,AM10,28.0,39.91,11.91,11.91,0.968,0.84,True,False
1.5.1,AMC,AMC,AMC,26.0,29.21,3.21,3.21,0.99,0.84,True,False
